posicao,linguagem,repositorios,percentual,octoverse_2025,classificacao
1,Python,229,0.229,True,
2,TypeScript,174,0.174,True,
3,JavaScript,110,0.11,True,
4,Go,76,0.076,True,
5,Rust,57,0.057,False,
6,Java,41,0.041,True,
7,C++,40,0.04,True,
8,Jupyter Notebook,24,0.024,False,
9,C,21,0.021,False,
10,Shell,20,0.02,True,
11,Ruby,13,0.013,False,
12,HTML,11,0.011,False,
13,Swift,10,0.01,False,
14,Kotlin,9,0.009,False,
15,C#,8,0.008,True,
16,CSS,8,0.008,False,
17,Dart,6,0.006,False,
18,Vue,6,0.006,False,
19,Markdown,5,0.005,False,
20,MDX,4,0.004,False,
21,Clojure,4,0.004,False,
22,PHP,4,0.004,True,
23,Vim Script,3,0.003,False,
24,Zig,3,0.003,False,
25,Dockerfile,2,0.002,False,
26,Scala,2,0.002,False,
27,PowerShell,2,0.002,False,
28,Makefile,2,0.002,False,
29,Haskell,2,0.002,False,
30,Astro,2,0.002,False,
31,Objective-C,2,0.002,False,
32,TeX,2,0.002,False,
33,Batchfile,1,0.001,False,categoria rara
34,Blade,1,0.001,False,categoria rara
35,Roff,1,0.001,False,categoria rara
36,Assembly,1,0.001,False,categoria rara
37,Nunjucks,1,0.001,False,categoria rara
38,Julia,1,0.001,False,categoria rara
39,Lua,1,0.001,False,categoria rara
40,Svelte,1,0.001,False,categoria rara
41,LLVM,1,0.001,False,categoria rara
42,V,1,0.001,False,categoria rara
43,Elixir,1,0.001,False,categoria rara
,Não identificada,87,0.087,,valor ausente
