repositorio,issues_fechadas,issues_total,razao_issues_fechadas
ComposioHQ/awesome-claude-skills,11,143,0.0769
floodsung/Deep-Learning-Papers-Reading-Roadmap,5,58,0.0862
anthropics/prompt-eng-interactive-tutorial,4,42,0.0952
elder-plinius/CL4R1T4S,8,79,0.1013
anthropics/financial-services,9,88,0.1023
type-challenges/type-challenges,4091,37283,0.1097
anthropics/skills,49,363,0.135
kelseyhightower/nocode,737,4964,0.1485
zbezj/HEU_KMS_Activator,32,205,0.1561
anthropics/claude-plugins-official,173,1070,0.1617
ruanyf/weekly,1686,10408,0.162
alex/what-happens-when,54,300,0.18
VoltAgent/awesome-design-md,78,384,0.2031
GitHubDaily/GitHubDaily,196,964,0.2033
myshell-ai/OpenVoice,75,359,0.2089
fengdu78/Coursera-ML-AndrewNg-Notes,15,70,0.2143
ashishpatel26/500-AI-Agents-Projects,10,46,0.2174
xinntao/Real-ESRGAN,179,764,0.2343
XingangPan/DragGAN,46,192,0.2396
lllyasviel/ControlNet,138,576,0.2396
google-research/google-research,352,1464,0.2404
youngyangyang04/leetcode-master,68,281,0.242
facebookresearch/segment-anything,182,718,0.2535
paperclipai/paperclip,730,2836,0.2574
fxsjy/jieba,231,877,0.2634
florinpop17/app-ideas,53,201,0.2637
TencentARC/GFPGAN,135,510,0.2647
jackfrued/Python-100-Days,193,729,0.2647
OpenCut-app/OpenCut,98,364,0.2692
CompVis/stable-diffusion,200,740,0.2703
jamiepine/voicebox,191,682,0.2801
dair-ai/Prompt-Engineering-Guide,74,255,0.2902
lencx/ChatGPT,372,1279,0.2909
shiyu-coder/Kronos,85,291,0.2921
geekcomputers/Python,161,542,0.297
aymericdamien/TensorFlow-Examples,71,239,0.2971
Leonxlnx/taste-skill,12,40,0.3
musistudio/claude-code-router,387,1282,0.3019
docker/awesome-compose,47,152,0.3092
google-research/bert,355,1145,0.31
